Date : 2022-05-06 22:34:43
Directory : g:\Project\MiniProgram\tanei
Total : 154 files,  22974 codes, 771 comments, 1386 blanks, all 25131 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\process\process.wxml                                                   | wxml       |         31 |          0 |          0 |         31 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\process\process.wxss                                                   | wxss       |          1 |          0 |          0 |          1 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\statistics\statistics.js                                               | JavaScript |         72 |          7 |          3 |         82 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\statistics\statistics.json                                             | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\statistics\statistics.wxml                                             | wxml       |        110 |          0 |          2 |        112 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\statistics\statistics.wxss                                             | wxss       |          1 |          0 |          0 |          1 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\repairSheet\repairSheet.js                                                     | JavaScript |        425 |          5 |          3 |        433 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\repairSheet\repairSheet.json                                                   | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\repairSheet\repairSheet.wxml                                                   | wxml       |        165 |          0 |         10 |        175 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\repairSheet\repairSheet.wxss                                                   | wxss       |          4 |          0 |          0 |          4 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\index\index.js                                                                          | JavaScript |        412 |          5 |          1 |        418 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\index\index.json                                                                        | JSON       |          5 |          0 |          0 |          5 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\index\index.wxml                                                                        | wxml       |        153 |          0 |          1 |        154 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\index\index.wxss                                                                        | wxss       |         95 |          0 |         15 |        110 |
